time,cruise,lat,lon,abundance_prochloro,abundance_synecho,abundance_picoeuk,abundance_croco,diam_prochloro,diam_synecho,diam_picoeuk,diam_croco,Qc_prochloro,Qc_synecho,Qc_picoeuk,Qc_croco,biomass_prochloro,biomass_synecho,biomass_picoeuk,biomass_croco,CMAP_sss_tblSSS_NRT,CMAP_sst_tblSST_AVHRR_OI_NRT,CMAP_ugos_tblAltimetry_REP_Signal,CMAP_vgos_tblAltimetry_REP_Signal,CMAP_Fe_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_ALK_darwin_clim_tblDarwin_Nutrient_Climatolog,hours_since_sunrise
2015-05-22 22:00:00,KM1508,21.3434,-158.2737,135.216812058417,2.0213181618044898,1.45686278399379,0.0063067643891379,0.534793323,1.0437730995,1.43689551475,2.4033192975,0.0297647355,0.167129676,0.3811943024999999,1.4556977875,4.0246610628987,0.337762550769228,0.555395344070067,0.0091807636974283,34.571716308566664,25.653118323125,0.0057644444444444,-0.1325311111111111,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,6.129444444444444
2015-05-22 23:00:00,KM1508,21.343533333333333,-158.27374444444445,136.85664917429355,2.4376217878667767,1.7746070757368155,0.0070085126440208,0.5391066088888888,1.0492198672777775,1.465613950777778,2.5006036531111118,0.0304549365555555,0.1693910393333333,0.4084672551666666,1.694756573777778,4.167833968411471,0.4136870727671516,0.7208836065168875,0.0131443637471963,34.571716308566664,25.653118323125,0.0057644444444444,-0.1325311111111111,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,7.129444444444444
2015-05-23 00:00:00,KM1508,21.346175,-158.27415,130.87352260738976,3.810791544757635,2.0181300880073976,0.006306650616003,0.572931913,1.0546892275,1.322598424375,2.3273055005,0.0355663215,0.171704622375,0.31319630475,1.33880522375,4.654360021568063,0.6542075208388836,0.6356540181563746,0.0084433256325873,34.60931650796667,25.646243323270827,-0.0022555555555555,-0.1320222222222222,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,8.129722222222222
2015-05-23 03:00:00,KM1508,21.87535,-158.252225,146.197106993557,1.3483715288449325,1.9192610760159277,0.0063081829199943,0.575584611,1.02790339075,1.231832035875,3.36930966375,0.03598911675,0.160648453125,0.26672524525,3.58424847125,5.259977322677402,0.2164359227446755,0.526368626221953,0.0226103079140636,34.62695153555,25.246659998833334,-0.1547708333333333,0.0913083333333333,0.0001019527968916,217.80103810612505,5.199637046851251e-07,0.3507734537126667,9.548164447149173,1953.80275,11.146666666666667
2015-05-23 04:00:00,KM1508,22.001275,-158.2243,136.32706884851876,2.091172009214265,1.86881697412642,0.006308235470815,0.59204876675,1.031782777875,1.36365982125,3.249944708,0.0387815885,0.16222868175,0.334227454875,3.28944250725,5.27303366766355,0.3401489436058872,0.6253763565802084,0.0207504008954728,34.62695153555,25.246659998833337,-0.1547708333333333,0.0913083333333333,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1952.970325,12.152222222222223
2015-05-23 05:00:00,KM1508,22.20958333333333,-158.18151666666668,141.19896767025685,2.1163478831535585,1.9218524329806848,0.006308042836865,0.5937001118333334,1.0460398065,1.4104441505,3.2359461431666667,0.0389790595,0.1680734084166666,0.3642849495,3.344455106,5.504294044817287,0.3561511908513223,0.699834059366072,0.0210971880559664,34.72389221191667,25.1083266685625,-0.1882604166666666,0.129275,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1952.970325,13.161388888888888
2015-05-23 06:00:00,KM1508,22.372666666666664,-158.15006666666667,132.56220978264466,1.957824181985764,1.8463705138274569,0.0063087843670107,0.6047937393333334,1.0449139568333334,1.4642500400000005,2.501268695333333,0.040888486,0.1675903925,0.4003585771666667,1.675719186,5.416649554281854,0.3280155124778527,0.7393312754366234,0.0105716674443101,34.72389221191667,25.1083266685625,-0.1882604166666666,0.129275,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1954.127925,14.168333333333333
2015-05-23 07:00:00,KM1508,22.61225,-158.09855,155.39487526231198,1.0911991761816648,2.318001421195505,0.0063074823571654,0.534226999,0.9967548095,1.0821149945,3.2635862155,0.029683338,0.148370725,0.19570173575,3.228946316,4.612638605879045,0.161822310934266,0.451722358760696,0.0203661356008606,34.90184296502778,24.878743340395832,-0.146975,0.08769375,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1954.127925,15.178888888888888
2015-05-23 08:00:00,KM1508,22.75,-158.05025,162.548359048666,1.07556969335179,2.195313694562765,0.0063083931730878,0.530090231,0.9873814795,1.0009500985,3.303967993,0.029093907,0.144805679,0.1528368585,3.557456089,4.729166841164496,0.1554946021951935,0.3329355111695265,0.0224406817955566,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.61878585825005,5.829765825638751e-07,0.35222736746075,9.559466451406871,1954.78545,16.18638888888889
2015-05-23 09:00:00,KM1508,22.75,-158.01625,165.3189777747325,1.2207632654319052,1.96205564859369,0.0094634218326271,0.5133581595000001,0.9681324705,1.487494517,2.5744799995000003,0.026783495,0.1376275325,0.41743847525,2.094968263,4.427820648230959,0.167932434920935,0.8177304354984245,0.0232863589838238,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.61878585825005,5.829765825638751e-07,0.35222736746075,9.559466451406871,1954.78545,17.18861111111111
