predictions,reals
5.969047928966861,5.397784269643146
6.040547763874924,6.003241054990304
6.287892528705728,6.144534346353464
6.463915901112686,6.318843104253746
6.5044439852033875,6.2593296124833575
6.523490235695703,6.242500120210373
6.614763556170204,6.509188057063863
6.513111324883206,6.2540364201713805
6.506233257445814,6.150398504532668
6.454217350870083,5.956483348437445
6.228736730486529,5.866888922849971
5.939941010874744,5.656576097757461
5.117295951546576,5.289805100974806
5.028934030818476,4.787673886682508
4.896687107285123,4.658681999886059
4.752379195839711,4.695473726831844
4.817899460252688,4.889824574446294
4.713822144388443,4.695438246456686
4.713158742768409,4.215884992778483
5.132892258349425,4.409807258823164
5.283735578908843,4.9429960760342
5.542169274120738,5.600619841708003
5.6423077144369325,6.27046790822521
5.714791591177809,6.319379862652384
5.8070833521478615,5.884224180095935
6.034742008587556,6.274006746126944
6.089662036360931,6.765037445534585
6.188380103966319,6.86595976223797
6.32470581684171,7.371230259853501
6.350838162151046,7.329441529482764
6.345120561988177,7.183196098279107
6.3149848720746835,7.061476760869517
6.3076987302575676,6.4354246091760645
6.826131701555385,6.364888391583474
7.6342769901665095,5.962461020674135
6.04106970880169,5.470459191192356
5.886499953951391,5.569959250349956
5.8382203627347895,5.008731286089666
4.877412118078639,4.366192605747083
4.730742917657525,4.474517280548392
4.60553929319425,4.826736069955467
5.884542782790846,3.771346936949983
6.379321599257349,4.33645298076959
6.673964644645633,4.912274143112632
6.791780812380713,5.3511455713215215
7.095407689520831,5.194454190643858
7.417015241286569,5.794356343347439
7.466219299640439,7.485247070930487
7.937860020226664,9.025153886180822
8.26439568728928,9.544165832545556
7.580937846529854,10.099983600369594
6.974390219495379,7.913448623215552
7.0178973876023045,10.775449964356849
6.820987638581739,10.639322374537684
6.752847675352973,9.357198986241771
6.6539138217358,8.685379350294797
6.104054059886908,7.278119032964637
5.229251993256187,6.324202516241943
5.097349789885156,6.072766136309159
5.021443587748239,5.620217470778791
5.019537432274314,5.324804740729275
4.964505005365678,5.383741495856083
4.932923120642383,4.154275560662601
4.893387340169163,2.9709040634507184
5.516168951774528,3.131333629738507
5.56140212521016,3.985604509523443
5.703612933258264,4.795539289353444
5.886148568685711,4.950524188396755
5.950207534255916,10.403967881238994
6.0936290870639755,9.87746569278671
6.315763328301885,9.890599035315192
6.273290359782172,9.597977732883304
6.482279969185548,9.093728586182616
6.644461724071084,11.469359610368723
6.618798195899427,10.431640571817947
6.618798195899427,8.628803563139654
6.63090576089524,8.950981480434992
6.571554553901849,8.456322423537147
6.486269687334855,10.87311184111986
6.350967428062926,8.40706224139639
5.779405830293327,7.135995856171517
5.0508814125944355,6.360454075295506
4.946970800474102,6.077658188423063
4.912900450930894,6.586150460280803
4.908370426871715,5.858260496736806
4.85493498343659,5.854470385107646
4.875799093849014,5.521465150415294
4.849581561120454,5.7548960593088
5.4169251198500765,6.617804898492478
5.4558139287156555,7.280862816937447
