time,lat,lon,biomass_pro,biomass_syn,biomass_pico,biomass_croco,ALK,sss,sst,ugos,vgos,Fe,O2,NO3,PO4,Si,hours_since_sunrise,cruise
2015-05-22,21.343466666666664,-158.2737222222222,4.096247515655085,0.37572481176818984,0.6381394752934773,0.0111625637223123,1952.6418,34.571716308566664,25.653118323125,0.0057644444444444,-0.1325311111111111,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,6.629444444444444,KM1508
2015-05-23,22.558267142857144,-158.06142626984126,4.492898638371928,0.24430700000979572,0.9057062932135054,0.01736282771334304,1954.6669845238093,34.85748406693257,24.9254695298373,-0.09426841931216928,0.05472146164021159,8.521607523218572e-05,218.51329930616225,5.696815422358898e-07,0.34982423401543256,9.515248322771496,11.515092592592593,KM1508
2015-05-24,22.76561784722222,-158.0271095138889,4.5498121216310485,0.20960281322320032,1.1016159263580088,0.02278129765843349,1954.9308625,34.91380580266043,24.675618344958338,-0.0808458333333333,0.0333270833333333,8.2894974269675e-05,218.67783164975006,5.799668840734062e-07,0.35012630093843744,9.519432302565232,11.694895833333334,KM1508
2015-06-19,22.38584726608187,-158.11094166666666,9.407239636001858,0.16684848794469131,0.9136570086441909,0.03953235062034776,1952.3032208333334,34.799171932541384,25.912534983922917,-0.028181125000000008,-0.23085984722222222,0.00010111117899964,215.89347888623337,4.631430735516854e-07,0.33891016465293955,9.369544315339748,12.795305555555554,KM1510
2015-06-20,22.720692687830688,-158.00940901587302,10.759186923995037,0.19864932078959444,1.171703017626695,0.02932393194489414,1952.4751433333333,34.899314735554256,25.911340539520836,0.047103888888888855,-0.3596270833333333,9.5985185256e-05,215.99116509748137,4.6776103713354994e-07,0.3378124188010958,9.355718406043334,15.211296296296297,KM1510
2015-07-18,21.343003888888887,-158.27393833333332,5.792853761563734,0.22486144743217457,0.864549470835347,0.09335163115345015,1951.2303500000003,34.6089134216,27.058326625062502,0.0390266666666666,-0.0682355555555555,0.0001237179461289,212.5747687021666,4.337112085768749e-07,0.3193830996750833,9.27550983429,6.487777777777778,KM1512
2015-07-19,22.488087362851573,-158.08222854987415,5.739790759935845,0.15068928712938437,0.7658645204645605,0.07356909712143213,1951.9215,34.98751593224275,26.726011817640046,-0.13308594135802468,-0.17664509259259256,8.614959467983889e-05,212.49176284135885,4.3643302333405895e-07,0.3236077187789399,9.357751886052121,12.200030864197531,KM1512
2015-07-25,23.234978076731178,-157.2931730277662,3.8996428723293426,0.16284560618616822,0.2672713320908269,0.07939839172564143,1953.0317666666665,35.35627409784982,26.86145162939815,-0.1191437422839506,0.005718765432098771,7.531810394904444e-05,212.74332985201394,4.1092294534987555e-07,0.3165690676067679,9.141713214693109,11.564645061728395,KM1513
2015-07-26,24.303589692939457,-156.80331867335312,3.4990824028970935,0.0795206747542124,0.021640900104342765,0.06966682050719833,1955.5433937500002,35.45525157850115,26.684753716658328,-0.0295661458333333,0.06530572916666666,6.8448959837e-05,213.30471801800007,4.137048117414063e-07,0.3103643152861873,8.945500761270312,9.821472222222223,KM1513
2015-07-31,24.54828194931774,-156.3233026559454,4.025685808637081,0.09517942824291285,0.45346018662500365,0.5030408237471482,1956.114425,35.405139287310426,26.9622849604375,-0.01184375,-0.1191625,6.78863716529e-05,212.68676137921884,4.3457671328190644e-07,0.3080583289263122,8.931440353392496,11.622546296296298,KM1513
2015-08-01,24.50825102872377,-156.30424260491915,4.274217166928951,0.09910673455196287,0.3883449535319024,0.5012380122132875,1954.99455,35.400207122172915,26.950409960687505,-0.01236875,-0.13156666666666667,6.8452721245605e-05,212.72202868454693,4.407105702153922e-07,0.30746890716237485,8.916180872916,12.916069444444446,KM1513
2015-08-02,24.41154657346491,-156.32549519188595,4.3515847816563875,0.09278223298103733,0.7053435069740891,0.571878163781152,1954.99455,35.412455638254166,26.90270162841667,-0.0133895833333333,-0.14125625,6.87576787186e-05,212.74101877203128,4.440134162565e-07,0.3071515262125624,8.907964229582502,10.351180555555555,KM1513
2015-11-13,22.566599582901535,-158.05490869003,6.16735354908822,0.1092580222987177,0.8140071253725907,0.06524730093406712,1953.7404321428573,35.10157510464855,25.700588560159726,0.0821999537037037,0.0727878703703703,9.648270332980476e-05,213.9573736341626,8.912816049927173e-07,0.3167739335507897,9.379288219270295,12.139867724867724,KM1518
2015-11-14,22.751963137925156,-158.0316159108388,7.666658300653255,0.14248627277190445,0.6224730239726345,0.03288336662221171,1953.9614787500002,35.12705175081667,25.534159992479164,0.0765083333333333,0.0966104166666666,9.272533666254e-05,214.1705459594249,9.018706553121814e-07,0.31639491617695004,9.355336952209498,13.321180555555554,KM1518
2015-11-15,22.732574526207316,-157.99991560896447,7.672285656461838,0.14357890595554715,0.4164695070511621,0.03899805516893071,1953.8553520833332,35.10361941655417,25.49186832670833,0.0655520833333333,0.1068666666666666,8.9412674697e-05,214.16886568064055,9.102417388718127e-07,0.3166923932732501,9.34310400486,11.761736111111112,KM1518
2016-01-15,22.349298155363158,-158.12194722222222,6.090332077571897,0.19208273061810585,0.9007228253930445,0.014546885433187167,1959.2307583333334,34.55209290539583,24.898187784423612,-0.07389965277777773,0.034236111111111085,9.480437034243334e-05,217.54843746282123,8.20563878770934e-07,0.33369037643478827,9.597119548253978,9.26375,KM1601
