population,time,lat,lon,abundance_cells_per_microliter,diameter_micrometer,NO3NO2,PO4,Fe,SiO4,Satellite_CHL,temp,salin,biomass
synecho,2023-03-07 21:20:00,-4.985625000000001,-179.0172,22.455221052406053,0.8904153929521549,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.75684,35.59377,2.4902658785907055
picoeuk,2023-03-07 21:30:00,-4.9817,-179.0146,42.88131312503703,1.45842739950539,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.76343,35.59474,16.985182624420197
prochloro,2023-03-07 21:30:00,-4.9835,-179.0157,59.22786266839992,0.589247035852435,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.76343,35.59474,2.26398055313788
synecho,2023-03-07 21:30:00,-4.982600000000001,-179.01513333333332,22.54272428346861,0.8959258137682061,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.76343,35.59474,2.5400812598631646
picoeuk,2023-03-07 21:40:00,-4.9802333333333335,-179.01366666666664,44.02594998542296,1.4529262264947864,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77059,35.59532,17.269368290807023
prochloro,2023-03-07 21:40:00,-4.9802333333333335,-179.01366666666664,59.842750238028735,0.5923689229536262,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77059,35.59532,2.3188834138264127
synecho,2023-03-07 21:40:00,-4.9802333333333335,-179.01366666666664,22.59948313604973,0.9012965417320636,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77059,35.59532,2.586047557420484
picoeuk,2023-03-07 21:50:00,-4.97725,-179.01184999999998,44.342853579000895,1.4601514510784812,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77472,35.59494,17.617713918353793
prochloro,2023-03-07 21:50:00,-4.977666666666667,-179.0121,59.86166985555577,0.5930080787993716,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77472,35.59494,2.326079338652665
synecho,2023-03-07 21:50:00,-4.97725,-179.01184999999998,22.476505622123977,0.9020898484666316,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.77472,35.59494,2.5778199971749975
picoeuk,2023-03-07 22:00:00,-4.974333333333333,-179.01,43.76107534004441,1.4607299676628198,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.79237,35.597359999999995,17.40434769750356
prochloro,2023-03-07 22:00:00,-4.97475,-179.01024999999998,59.41232893928856,0.598236109348533,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.79237,35.597359999999995,2.361496290404909
synecho,2023-03-07 22:00:00,-4.974333333333333,-179.01,21.6913414947518,0.897595354020277,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.79237,35.597359999999995,2.455916923817066
picoeuk,2023-03-07 22:10:00,-4.971733333333334,-179.00840000000002,43.21240643176024,1.46856853805066,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.80902,35.59734,17.42508325923452
prochloro,2023-03-07 22:10:00,-4.97175,-179.0084,57.4399588120946,0.6004067020557324,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.80902,35.59734,2.304532904394772
synecho,2023-03-07 22:10:00,-4.971733333333334,-179.00840000000002,21.23727067410283,0.8988905018045772,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.80902,35.59734,2.4134680100767256
picoeuk,2023-03-07 22:20:00,-4.9688,-179.00663333333333,43.675937061172725,1.472369653725125,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.818,35.59722,17.7298494237704
prochloro,2023-03-07 22:20:00,-4.9688,-179.00663333333333,57.50617747343925,0.6017753496491095,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.818,35.59722,2.3207831310479343
synecho,2023-03-07 22:20:00,-4.9688,-179.00663333333333,21.407547231846195,0.8990223585121142,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.818,35.59722,2.4337395768317283
picoeuk,2023-03-07 22:30:00,-4.983333333333333,-179.00986666666665,43.978650941605366,1.4680290028110068,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.81294,35.59547,17.717261114135873
prochloro,2023-03-07 22:30:00,-4.983333333333333,-179.00986666666665,56.68317411101299,0.6022932397583339,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.81294,35.59547,2.292651769088535
synecho,2023-03-07 22:30:00,-4.98335,-179.00985,21.69607139913356,0.9097085316696244,0.2402644945232168,0.5761278594145551,6.8210017065e-06,3.409195752348751,0.1504205741221085,28.81294,35.59547,2.542894103222622
picoeuk,2023-03-07 22:40:00,-5.0145,-179.02016666666668,45.43546149118748,1.4634683200873233,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.79747,35.59421,18.157800752788603
prochloro,2023-03-07 22:40:00,-5.0145,-179.0202,55.680434382079845,0.599101099290945,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.79747,35.59421,2.2214279800594534
synecho,2023-03-07 22:40:00,-5.0145,-179.02016666666668,21.62512283340716,0.9102028273524438,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.79747,35.59421,2.538133203236566
picoeuk,2023-03-07 22:50:00,-5.050599999999999,-179.032125,43.52694507314728,1.4702270312988923,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.81318,35.59601,17.60310463673316
prochloro,2023-03-07 22:50:00,-5.050599999999999,-179.032125,56.070651493575056,0.602257053723227,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.81318,35.59601,2.267525681363528
synecho,2023-03-07 22:50:00,-5.050599999999999,-179.032125,22.015339944902365,0.9068877379511368,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.81318,35.59601,2.559722143311612
picoeuk,2023-03-07 23:00:00,-5.086833333333334,-179.0441,39.47578197016976,1.4700718940171766,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.82714,35.60014,15.960393197000068
prochloro,2023-03-07 23:00:00,-5.086833333333334,-179.0441,54.46011905158574,0.6023800802701293,0.1220294222950997,0.5587939870310947,6.5292597453e-06,3.2832864690572023,0.1408181680308189,28.82714,35.60014,2.2035558488116505
