population,time,lat,lon,abundance_cells_per_microliter,diameter_micrometer,depth,CMAP_NO3_tblPisces_Forecast_cl1,CMAP_PO4_tblPisces_Forecast_cl1,CMAP_Fe_tblPisces_Forecast_cl1,CMAP_Si_tblPisces_Forecast_cl1,CMAP_chl_tblPisces_Forecast_cl1
picoeuk,2023-02-25T05:40:00,21.3067,-157.0366,14.30323085044253,1.55786005995454,0.0,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779
picoeuk,2023-02-25T05:50:00,21.3142,-157.0321,20.71698119210922,1.5760000524204352,0.0,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779
picoeuk,2023-02-25T06:00:00,21.3123,-157.0168,22.590023327286215,1.606258002174305,0.0,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779
picoeuk,2023-02-25T06:10:00,21.3117,-156.9975,20.915637176143143,1.54430705361395,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T06:20:00,21.31105,-156.9805,22.32041877752589,1.549379145135515,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T06:30:00,21.31005,-156.9708,20.078444100571605,1.5492303838127826,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T06:40:00,21.308166666666665,-156.94816666666668,27.575342545661357,1.5393034690635268,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T06:50:00,21.307299999999998,-156.93565,31.884285437444806,1.514637061580735,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:00:00,21.305933333333332,-156.91856666666666,26.430705685275413,1.5101528800402548,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:10:00,21.3049,-156.9043,27.02667363737719,1.5133536315705516,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:20:00,21.303133333333335,-156.8839,30.261928234501095,1.4811169451031017,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:30:00,21.301733333333335,-156.86913333333334,31.463323947468155,1.4819040463664432,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:40:00,21.300425,-156.851675,32.59377109470882,1.469865846043671,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T07:50:00,21.299,-156.8315,26.903696123451425,1.5285078021313652,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:00:00,21.29875,-156.82475,25.65500136666676,1.52277939567727,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:10:00,21.297375000000002,-156.805475,26.60571214740054,1.5330940693189299,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:20:00,21.2953,-156.7882,24.680641064024183,1.5371011373198618,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:30:00,21.2943,-156.7783,19.014215614675585,1.53512191355573,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:40:00,21.2807,-156.7624,14.445127981895332,1.54262833228728,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T08:50:00,21.271133333333335,-156.76233333333334,17.935797415634283,1.5257839243823117,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T09:00:00,21.25515,-156.76225,24.576583167625458,1.504987261792655,0.0,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912
picoeuk,2023-02-25T09:10:00,21.239033333333335,-156.7619,30.564642114933736,1.45972470876821,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
picoeuk,2023-02-25T09:20:00,21.22725,-156.76184999999998,31.6004911745392,1.38519852873313,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
picoeuk,2023-02-25T09:30:00,21.21166666666667,-156.76183333333333,32.560661764036496,1.3865789595187599,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
picoeuk,2023-02-25T09:40:00,21.198933333333333,-156.76893333333334,32.14443017844161,1.28601712305459,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
picoeuk,2023-02-25T09:50:00,21.19535,-156.7881,33.09041105479363,1.2556657737807448,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
picoeuk,2023-02-25T10:00:00,21.1933,-156.8065,26.903696123451425,1.27083294642444,0.0,0.0007169839310032,0.2096904392319697,0.0004922553651407,2.0909243729379443,0.0716264938314755
