time,cruise,lat,lon,biomass_pro,biomass_syn,biomass_pico,biomass_croco,sss,sst,ugos,vgos,Fe,O2,NO3,PO4,Si,ALK,hours_since_sunrise
2015-05-22 22:00:00,KM1508,21.3434,-158.2737,4.0246610628987,0.337762550769228,0.555395344070067,0.0091807636974283,34.571716308566664,25.653118323125,0.0057644444444444,-0.1325311111111111,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,6.129444444444444
2015-05-22 23:00:00,KM1508,21.343533333333333,-158.27374444444445,4.167833968411471,0.4136870727671516,0.7208836065168875,0.0131443637471963,34.571716308566664,25.653118323125,0.0057644444444444,-0.1325311111111111,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,7.129444444444444
2015-05-23 00:00:00,KM1508,21.346175,-158.27415,4.654360021568063,0.6542075208388836,0.6356540181563746,0.0084433256325873,34.60931650796667,25.646243323270827,-0.0022555555555555,-0.1320222222222222,8.77379416124e-05,216.79416720075,4.2692777787075e-07,0.3451509674391668,9.46470395723917,1952.6418,8.129722222222222
2015-05-23 03:00:00,KM1508,21.87535,-158.252225,5.259977322677402,0.2164359227446755,0.526368626221953,0.0226103079140636,34.62695153555,25.246659998833334,-0.1547708333333333,0.0913083333333333,0.0001019527968916,217.80103810612505,5.199637046851251e-07,0.3507734537126667,9.548164447149173,1953.80275,11.146666666666668
2015-05-23 04:00:00,KM1508,22.001275,-158.2243,5.27303366766355,0.3401489436058872,0.6253763565802084,0.0207504008954728,34.62695153555,25.246659998833337,-0.1547708333333333,0.0913083333333333,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1952.970325,12.152222222222225
2015-05-23 05:00:00,KM1508,22.20958333333333,-158.18151666666668,5.504294044817287,0.3561511908513223,0.699834059366072,0.0210971880559664,34.72389221191667,25.1083266685625,-0.1882604166666666,0.129275,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1952.970325,13.161388888888888
2015-05-23 06:00:00,KM1508,22.372666666666664,-158.15006666666667,5.416649554281854,0.3280155124778527,0.7393312754366234,0.0105716674443101,34.72389221191667,25.1083266685625,-0.1882604166666666,0.129275,9.14454888061e-05,218.34128761284376,5.843341615019374e-07,0.3531897887587502,9.569981664419378,1954.127925,14.168333333333331
2015-05-23 07:00:00,KM1508,22.61225,-158.09855,4.612638605879045,0.161822310934266,0.451722358760696,0.0203661356008606,34.90184296502778,24.878743340395832,-0.146975,0.08769375,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1954.127925,15.178888888888888
2015-05-23 08:00:00,KM1508,22.75,-158.05025,4.729166841164496,0.1554946021951935,0.3329355111695265,0.0224406817955566,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.61878585825005,5.829765825638751e-07,0.35222736746075,9.559466451406871,1954.78545,16.18638888888889
2015-05-23 09:00:00,KM1508,22.75,-158.01625,4.427820648230959,0.167932434920935,0.8177304354984245,0.0232863589838238,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.61878585825005,5.829765825638751e-07,0.35222736746075,9.559466451406871,1954.78545,17.18861111111111
2015-05-23 10:00:00,KM1508,22.75025,-158.01665,4.67191993134671,0.1842598595869909,0.8454574677417546,0.0161376942660745,34.91962122917709,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1955.412625,18.18861111111111
2015-05-23 12:00:00,KM1508,22.75006,-158.01656,4.281358607262648,0.1818431165796734,0.8053861091944882,0.0309126506977772,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1955.412625,20.18861111111111
2015-05-23 13:00:00,KM1508,22.74985,-158.01645000000002,4.375516462272645,0.170269476756623,0.970481602922051,0.0085302295770906,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1954.127925,21.18861111111111
2015-05-23 14:00:00,KM1508,22.750266666666665,-158.00973333333334,4.198793969554266,0.1920764827858663,1.013139076144987,0.0098616849405524,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1955.412625,22.18888888888889
2015-05-23 15:00:00,KM1508,22.75003333333333,-158.00023333333334,4.142164131628603,0.206423891924522,1.1041603610433668,0.0169586967422016,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.30467017749e-05,218.6187858582501,5.82976582563875e-07,0.35222736746075,9.559466451406871,1955.412625,23.189722222222223
2015-05-23 16:00:00,KM1508,22.7501,-157.99923333333334,4.104661646545713,0.2222130487818743,1.1816860727921,0.0180096896183187,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.26420950943e-05,218.77624130225007,5.749507199226249e-07,0.3466245234012499,9.452708721162498,1955.412625,0.1947222222222222
2015-05-23 17:00:00,KM1508,22.7501,-157.99955,4.1053264869615775,0.2390286359573927,1.14233768612644,0.0175632734345918,34.919621229177075,24.813326675208334,-0.0762895833333333,0.0501541666666666,8.26420950943e-05,218.77624130225007,5.749507199226249e-07,0.3466245234012499,9.452708721162498,1955.412625,1.1947222222222222
