salinity,temp,cruise,par,date,lat,lon,SiO4,NO3_NO2,PO4,Fe,PP,chl,MLD
11.30459479,13.43215313,Gradients 2,1130.308083,6/5/17 3:00,39.27087,-157.99921,NA,NA,NA,NA,NA,NA,NA
11.53639794,13.54914433,Gradients 2,1636.690598,6/5/17 1:00,39.48858,-158.00056,NA,NA,NA,NA,NA,NA,NA
12.65013441,13.53068065,Gradients 2,1355.719989,6/5/17 2:00,39.39606316,-158.0011684,NA,NA,NA,NA,NA,NA,NA
26.67221034,13.42697586,Gradients 2,1626.304448,6/4/17 19:00,39.51966667,-158.00055,NA,NA,NA,NA,NA,NA,NA
26.88847979,13.48748617,Gradients 2,2093.545011,6/5/17 0:00,39.4999,-158,NA,NA,NA,NA,NA,NA,NA
27.41273902,13.30399756,Gradients 2,1204.981646,6/4/17 18:00,39.59823529,-158.0010647,NA,NA,NA,NA,NA,NA,NA
27.59887474,13.00671053,Gradients 2,781.6123368,6/4/17 17:00,39.72028,-158.000395,NA,NA,NA,NA,NA,NA,NA
28.26100108,12.45921505,Gradients 2,-0.010182796,6/4/17 13:00,40.191175,-157.999345,NA,NA,NA,NA,NA,NA,NA
28.30656531,11.09194898,Gradients 2,-0.00755102,6/3/17 9:00,41.939875,-157.997975,NA,NA,NA,NA,NA,NA,NA
28.48305714,11.13958265,Gradients 2,-0.009061224,6/3/17 8:00,42.1026,-157.998365,NA,NA,NA,NA,NA,NA,NA
28.49652766,12.32740319,Gradients 2,-0.009180851,6/4/17 12:00,40.30308,-157.99917,NA,NA,NA,NA,NA,NA,NA
28.4996,13.84084,Gradients 2,107.0146,6/5/17 5:00,38.9952,-157.99845,NA,NA,NA,NA,NA,NA,NA
28.73188351,11.95139588,Gradients 2,31.79848454,6/4/17 5:00,41.041945,-157.994135,NA,NA,NA,NA,NA,NA,NA
28.73981667,11.06398229,Gradients 2,-0.005291667,6/3/17 10:00,41.776775,-157.997955,NA,NA,NA,NA,NA,NA,NA
28.79998958,12.04754583,Gradients 2,-0.012239583,6/4/17 11:00,40.41438,-158.00004,NA,NA,NA,NA,NA,NA,NA
